Field,Variety,Fungicide,Yield
1,1,A,200.544
1,2,A,202.908
1,3,A,192.92
1,1,A,208.84
1,2,A,199.32
1,3,A,194.98
1,1,A,199.144
1,2,A,200.488
1,3,A,199.92
2,1,B,214.58
2,2,B,226.448
2,3,B,217.7
2,1,B,218.388
2,2,B,215.804
2,3,B,221.724
2,1,B,219.688
2,2,B,213.48
2,3,B,211.468
3,1,A,214.1420071
3,2,A,221.4578704
3,3,A,211.4330708
3,1,A,211.6147467
3,2,A,187.7900291
3,3,A,209.8177956
3,1,A,213.8975671
3,2,A,202.5567391
3,3,A,227.1396729
4,1,B,226.4032322
4,2,B,232.3903219
4,3,B,227.2754119
4,1,B,219.3232171
4,2,B,224.3087711
4,3,B,239.0479286
4,1,B,231.4156771
4,2,B,239.0765327
4,3,B,237.5441157
